passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,wyId,foot,shortName,currentNationalTeamId
Denmark,78,Lasse,,Sch\u00f6ne,9,1986-05-27,177,Midfielder,Denmark,405,right,L. Sch\u00f6ne,7712
Gambia,56,Ablie,,Jallow,3777,1998-11-14,166,Midfielder,Gambia,376908,left,A. Jallow,null
Romania,75,Bogdan Sorin,,Stancu,4502,1987-06-28,183,Forward,Romania,33235,right,B. Stancu,null
Switzerland,90,Gregor,,Kobel,2482,1997-12-06,194,Goalkeeper,Switzerland,328190,right,G. Kobel,null
Congo DR,80,Denis Lemi,,Zakaria Lako Lado,2454,1996-11-20,191,Midfielder,Switzerland,360992,right,D. Zakaria,6697
Netherlands,76,Marten,,de Roon,3172,1991-03-29,185,Midfielder,Netherlands,625,right,M. de Roon,null
England,75,Alex,,Iwobi,1609,1996-05-03,180,Midfielder,Nigeria,230020,right,A. Iwobi,16823
Italy,77,Lorenzo,,Pellegrini,3158,1996-06-19,186,Midfielder,Italy,328333,right,L. Pellegrini,3757
Algeria,75,Mohamed Salim,,Fares,3194,1996-02-15,183,Forward,France,328336,left,M. Fares,null
Brazil,73,Ot\u00e1vio Henrique,,Passos Santos,3772,1994-05-04,176,Midfielder,Brazil,295569,right,Ot\u00e1vio,null
Argentina,72,Hern\u00e1n Dar\u00edo,,Toledo,714,1996-01-17,180,Forward,Argentina,393881,right,H. Toledo,null
Japan,78,Maya,,Yoshida,1619,1988-08-24,189,Defender,Japan,703,right,M. Yoshida,12913
Congo,78,Bryan,,Passi,3787,1997-08-05,189,Defender,France,426692,right,B. Passi,null
C\u00f4te d'Ivoire,73,Hamza,,Mendyl,2449,1997-10-21,179,Defender,Morocco,426702,left,H. Mendyl,16216
France,70,Anthony,,Caci,3779,1997-07-01,184,Midfielder,France,426714,right,A. Caci,null
Spain,77,Miguel \u00c1ngel,,Guerrero Mart\u00edn,712,1990-07-12,182,Forward,Spain,5481,right,Guerrero,null
Slovakia,75,R\u00f3bert,,Maz\u00e1\u0148,692,1994-02-09,180,Defender,Slovakia,786,left,R. Maz\u00e1\u0148,14496
France,71,Martin,,Terrier,3779,1997-03-04,183,Forward,France,394006,right,M. Terrier,4425
France,75,Th\u00e9odore,,Efouba Ayissi,,1997-05-05,184,Defender,Cameroon,394008,right,T. Efouba Ayissi,null
Nigeria,72,Tyronne,,Ebuehi,9607,1995-12-16,187,Defender,Netherlands,332821,right,T. Ebuehi,16823
France,65,Patrick,,Burner,3775,1996-04-11,170,Defender,Martinique,328488,right,P. Burner,null
France,64,Samuel,,Grandsir,3795,1996-08-14,168,Forward,France,295761,right,S. Grandsir,4425
Spain,0,V\u00edctor,,L\u00f3pez Ib\u00e1\u00f1ez,696,1997-05-12,0,Defender,Spain,404285,right,V\u00edctor L\u00f3pez,null
C\u00f4te d'Ivoire,65,Jean Micha\u00ebl,,Seri,3775,1991-07-19,168,Midfielder,C\u00f4te d'Ivoire,131959,right,J. Seri,null
Spain,77,Gerard,,Gumbau Garriga,712,1994-12-18,187,Midfielder,Spain,263091,left,Gumbau,null
Spain,68,Pablo,,Maffeo Becerra,756,1997-07-12,173,Defender,Spain,263105,right,Pablo Maffeo,1604
Poland,78,Artur,,J\u0119drzejczyk,13505,1987-11-04,189,Defender,Poland,99381,right,A. J\u0119drzejczyk,13869
Poland,75,Maciej,,Rybus,13887,1989-08-19,173,Defender,Poland,99391,left,M. Rybus,13869
Poland,82,Marcin,,Kami\u0144ski,2445,1992-01-15,192,Defender,Poland,99410,left,M. Kami\u0144ski,null
Austria,76,Karim,,Onisiwo,2460,1992-03-17,188,Midfielder,Austria,66654,right,K. Onisiwo,null
Russia,81,Artjoms,,Rud\u0146evs,,1988-01-13,183,Forward,Latvia,99425,left,A. Rud\u0146evs,null
Poland,83,\u0141ukasz,,Skorupski,3158,1991-05-05,190,Goalkeeper,Poland,99430,right,\u0141. Skorupski,null
Poland,76,Pawe\u0142,,Olkowski,2463,1990-02-13,184,Defender,Poland,99437,right,P. Olkowski,null
Poland,78,Arkadiusz,,Milik,3187,1994-02-28,186,Forward,Poland,99452,left,A. Milik,13869
Burkina Faso,72,Pr\u00e9juce Niguimb\u00e9,,Nakoulma,,1987-04-21,178,Forward,Burkina Faso,99453,right,P. Nakoulma,null
Italy,76,Gianluca,,Pegolo,3315,1981-03-25,183,Goalkeeper,Italy,20771,left,G. Pegolo,null
Poland,72,Mariusz,,St\u0119pi\u0144ski,3165,1995-05-12,183,Forward,Poland,99511,right,M. St\u0119pi\u0144ski,null
Croatia,89,Duje,,\u0106aleta-Car,3771,1996-09-17,192,Defender,Croatia,230626,right,D. \u0106aleta-Car,9598
Lithuania,92,Edvinas,,Gertmonas,3774,1996-06-01,192,Goalkeeper,Lithuania,240507,right,E. Gertmonas,13503
Croatia,74,Hrvoje,,Mili\u0107,,1989-05-10,183,Defender,Croatia,69874,left,H. Mili\u0107,null
Germany,70,Jonathan,,Klinsmann,2457,1997-04-08,194,Goalkeeper,United States,492782,right,J. Klinsmann,8140
Italy,80,Francesco,,Vicari,3204,1994-08-03,190,Defender,Italy,263432,right,F. Vicari,null
Italy,70,Alex,,Ferrari,3194,1994-07-01,183,Defender,Italy,263433,right,A. Ferrari,null
Croatia,88,Emil,,Berggreen,2460,1993-05-10,194,Forward,Denmark,230687,right,E. Berggreen,null
Poland,88,Igor,,Lewczuk,3772,1985-05-30,189,Defender,Poland,99633,right,I. Lewczuk,null
Mali,76,Cheick,,Keita,3166,1996-04-16,182,Defender,France,361779,left,C. Keita,19001
Spain,69,Carlos,,Calder\u00f3n L\u00f3pez,698,1995-04-14,182,Midfielder,Spain,329026,right,Carlos Calder\u00f3n,null
Poland,80,Thiago,,Rangel Cionek,3204,1986-04-21,183,Defender,Brazil,99661,right,T. Cionek,13869
Uruguay,73,Rodrigo,,Bentancur Colm\u00e1n,3159,1997-06-25,185,Midfielder,Uruguay,361807,right,R. Bentancur,15670
Brazil,76,Bernardo,,Fernandes da Silva Junior,2975,1995-05-14,186,Defender,Brazil,296341,left,Bernardo,null
Poland,81,Rafa\u0142,,Gikiewicz,2453,1987-10-26,190,Goalkeeper,Poland,99749,right,R. Gikiewicz,null
Italy,85,Alessandro,,Deiola,3173,1995-08-01,190,Midfielder,Italy,263591,right,A. Deiola,null
Afghanistan,73,Nadiem,,Amiri,2482,1996-10-27,180,Midfielder,Germany,263614,right,N. Amiri,3155
Spain,78,Yeray,,\u00c1lvarez L\u00f3pez,678,1995-01-24,183,Defender,Spain,230857,right,Yeray,null
Spain,73,\u00cd\u00f1igo,,Lekue Mart\u00ednez,678,1993-05-04,180,Defender,Spain,230862,right,Lekue,null
Egypt,84,Ali,,Gabr,27533,1989-01-10,193,Defender,Egypt,198120,right,Ali Gabr,16129
Spain,70,Pere,,Pons Riera,756,1993-02-20,177,Midfielder,Spain,230895,right,Pere Pons,null
Italy,65,Federico Nicol\u00e1s,,Cartabia,677,1993-01-20,169,Midfielder,Argentina,230897,left,Fede Cartabia,null
Poland,77,Bartosz,,Bereszy\u0144ski,3164,1992-07-12,183,Defender,Poland,99833,right,B. Bereszy\u0144ski,13869
Iceland,81,\u00d3lafur Ingi,,Sk\u00falason,7727,1983-04-01,183,Midfielder,Iceland,38241,right,\u00d3. Sk\u00falason,7839
Germany,79,Dominik,,Kohr,2446,1994-01-31,183,Midfielder,Germany,165425,right,D. Kohr,null
Poland,75,Piotr,,Zieli\u0144ski,3187,1994-05-20,180,Midfielder,Poland,99902,right,P. Zieli\u0144ski,13869
Brazil,77,Jemerson,,de Jesus Nascimento,19830,1992-08-24,184,Defender,Brazil,263766,right,Jemerson,null
Congo DR,72,Youri,,Tielemans,19830,1997-05-07,176,Midfielder,Belgium,263802,right,Y. Tielemans,5629
Belgium,80,Timothy,,Castagne,3172,1995-12-05,185,Defender,Belgium,263803,right,T. Castagne,null
Ghana,71,Kenny,,Tete,3766,1995-10-09,180,Defender,Netherlands,1712,right,K. Tete,664
Denmark,71,Viktor,,Fischer,7452,1994-06-09,180,Forward,Denmark,1722,right,V. Fischer,7712
Cura\u00e7ao,74,Riechedly,,Bazoer,2451,1996-10-12,184,Midfielder,Netherlands,1729,right,R. Bazoer,670
Morocco,80,Oussama,,Tannane,3782,1994-03-23,177,Forward,Netherlands,1751,left,O. Tannane,null
Congo DR,67,Presnel,,Kimpembe,3767,1995-08-13,183,Defender,France,231138,left,P. Kimpembe,4418
France,71,Kingsley,,Coman,2444,1996-06-13,178,Forward,France,231139,right,K. Coman,null
Brazil,73,Gabriel,,Barbosa Almeida,5655,1996-08-30,178,Forward,Brazil,263948,left,Gabigol,null
Mauritania,71,Mamadou,,Sissako,3795,1996-04-20,171,Forward,France,231184,right,M. Sissako,null
Turkey,71,\u015eener,,\u00d6zbayrakl\u0131,4487,1990-01-23,171,Defender,Turkey,34592,right,\u015e. \u00d6zbayrakl\u0131,null
Russia,86,Andrey,,Semenov,13898,1989-03-24,190,Defender,Russia,102629,right,A. Semenov,14358
France,71,Yoel,,Armougom,3783,1998-06-05,173,Defender,Reunion,493412,left,Y. Armougom,null
C\u00f4te d'Ivoire,70,K\u00e9vin Lucien,,Zohi,3779,1996-12-19,177,Forward,C\u00f4te d'Ivoire,493415,right,K. Zohi,null
Spain,79,Igor,,Zubeld\u00eda Elorza,687,1997-03-30,180,Midfielder,Spain,395114,right,Zubeld\u00eda,1604
New Caledonia,74,George,,Gope-Fenepej,3789,1988-10-23,182,Forward,New Caledonia,132972,right,G. Gope-Fenepej,null
Italy,80,Pierluigi,,Gollini,3172,1995-03-18,188,Goalkeeper,Italy,264084,right,P. Gollini,null
Spain,78,Ezequiel,,Ponce Mart\u00ednez,3776,1997-03-29,178,Forward,Argentina,284322,right,E. Ponce,12281
Italy,70,Enrico,,Bearzotti,3194,1996-10-20,180,Midfielder,Italy,388099,right,E. Bearzotti,null
Italy,90,Emiliano,,Viviano,3164,1985-12-01,195,Goalkeeper,Italy,20802,left,E. Viviano,null
Uruguay,87,Maximiliano,,G\u00f3mez Gonz\u00e1lez,692,1996-08-14,186,Forward,Uruguay,395636,right,Maxi G\u00f3mez,15670
Mauritania,79,Moctar El Hacen,,El Id,695,1997-12-31,181,Midfielder,Mauritania,264778,right,M. El Id,null
Albania,78,Thomas,,Strakosha,3162,1995-03-19,186,Goalkeeper,Greece,166534,right,T. Strakosha,null
France,78,Marcus,,Coco,3785,1996-06-24,184,Midfielder,Guadeloupe,330387,right,M. Coco,null
Finland,83,Joel,,Pohjanpalo,2446,1994-09-13,185,Forward,Finland,35477,right,J. Pohjanpalo,4849
Peru,67,Miguel \u00c1ngel,,Trauco Saavedra,5654,1992-08-25,175,Defender,Peru,115146,left,M. Trauco,15594
France,72,Vincent,,Laurini,3176,1989-06-10,173,Defender,France,22313,right,V. Laurini,null
Congo DR,67,Firmin Ndombe,,Mubele,3780,1994-04-17,170,Forward,Congo DR,264989,right,F. Mubele,18538
Czech Republic,86,Anton\u00edn,,Bar\u00e1k,3163,1994-12-03,190,Midfielder,Czech Republic,265172,left,A. Bar\u00e1k,11555
Nigeria,85,Manuel,,Akanji,2447,1995-07-19,187,Defender,Switzerland,297957,right,M. Akanji,6697
Spain,67,Samuel ,,Castillejo Azuaga,682,1995-01-18,182,Midfielder,Spain,134174,left,Samu Castillejo,null
Serbia,82,Filip,,Manojlovi\u0107,698,1996-04-25,197,Goalkeeper,Serbia,363560,right,F. Manojlovi\u0107,32344
Spain,73,Rub\u00e9n,,Sobrino Pozuelo,696,1992-02-16,185,Forward,Spain,134249,right,Rub\u00e9n Sobrino,null
Russia,87,Vasili,,Berezutski,,1982-06-20,189,Defender,Russia,101581,right,V. Berezutski,null
Paraguay,65,Julio C\u00e9sar,,Villalba Gaona,2454,1998-09-11,174,Forward,Paraguay,363648,right,J. Villalba,15519
Nigeria,80,Onyinye Wilfred,,Ndidi,1631,1996-12-16,187,Midfielder,Nigeria,265366,right,W. Ndidi,16823
Nigeria,72,Abdullahi,,Shehu,4502,1993-03-12,181,Defender,Nigeria,265368,right,A. Shehu,16823
Slovakia,70,Tom\u00e1\u0161,,Hubo\u010dan,4488,1985-09-17,184,Defender,Slovakia,101555,right,T. Hubo\u010dan,14496
Brazil,83,Bruno Eduardo,,Regufe Alves,3160,1981-11-27,187,Defender,Portugal,101558,right,Bruno Alves,9905
Morocco,68,Achraf,,Hakimi Mouh,2447,1998-11-04,179,Defender,Spain,396475,right,A. Hakimi,16216
Spain,72,Eloi,,Amagat Arimany,756,1985-05-21,180,Midfielder,Spain,167104,right,Eloi Amagat,null
Spain,81,Vicente,,Guaita Panadero,698,1987-01-10,190,Goalkeeper,Spain,3267,right,Guaita,null
Spain,68,Jordi,,Alba Ramos,676,1989-03-21,170,Defender,Spain,3269,left,Jordi Alba,1598
Spain,76,Antonio,,Barrag\u00e1n Fern\u00e1ndez,684,1987-06-12,183,Defender,Spain,3270,right,Barrag\u00e1n,null
Russia,82,Igor,,Akinfeev,13886,1986-04-08,186,Goalkeeper,Russia,101576,right,I. Akinfeev,14358
Morocco,90,Adil,,Rami,3771,1985-12-27,190,Defender,France,3276,right,A. Rami,4418
Spain,78,V\u00edctor,,Ru\u00edz Torre,682,1989-01-25,185,Defender,Spain,3277,left,V\u00edctor Ru\u00edz,null
Spain,75,Sabin,,Merino Zuloaga,678,1992-01-04,187,Forward,Spain,167119,right,Sabin Merino,null
Spain,71,\u00c9ver Maximiliano David,,Banega,680,1988-06-29,174,Midfielder,Argentina,3280,right,\u00c9. Banega,12274
Spain,67,Juan,,Bernat Velasco,2444,1993-03-01,170,Defender,Spain,3281,left,Juan Bernat,null
Spain,74,Sergio,,Canales Madrazo,687,1991-02-16,180,Midfielder,Spain,3282,left,Canales,null
Spain,74,Daniel,,Parejo Mu\u00f1oz,674,1989-04-16,182,Midfielder,Spain,3286,right,Dani Parejo,null
Spain,75,Cristian,,Portugu\u00e9s Manzanera,756,1992-05-21,178,Midfielder,Spain,3287,right,Portu,null
Japan,76,Keisuke,,Honda,8311,1986-06-13,182,Midfielder,Japan,101592,left,K. Honda,12913
Turkey,82,Mehmet,,Topal,4487,1986-03-03,187,Midfielder,Turkey,3289,right,M. Topal,null
Spain,78,Aritz,,Aduriz Zubeldia,678,1981-02-11,182,Forward,Spain,3290,right,Aduriz,null
Spain,71,Francisco,,Alc\u00e1cer Garc\u00eda,676,1993-08-30,175,Forward,Spain,3291,right,Paco Alc\u00e1cer,null
Italy,63,Pablo Daniel,,Piatti,691,1989-03-31,163,Forward,Argentina,3293,left,P. Piatti,null
Spain,88,Antonio,,Ad\u00e1n Garrido,684,1987-05-13,191,Goalkeeper,Spain,3296,left,Ad\u00e1n,null
Spain,81,Fernando,,Pacheco Flores,696,1992-05-18,186,Goalkeeper,Spain,3299,left,Fernando Pacheco,null
Brazil,74,Dalbert Henrique,,Chagas Estev\u00e3o,3161,1993-09-08,181,Defender,Brazil,298212,left,Dalbert,null
Nigeria,66,Ahmed,,Musa,16470,1992-10-14,171,Forward,Nigeria,101606,right,A. Musa,16823
Spain,76,Jos\u00e9 Ignacio,,Fern\u00e1ndez Iglesias,675,1990-01-18,180,Defender,Spain,3304,right,Nacho,1598
Spain,82,Sergio,,Ramos Garc\u00eda,675,1986-03-30,184,Defender,Spain,3306,right,Sergio Ramos,1598
Portugal,78,Ricardo Alberto,,Silveira de Carvalho,,1978-05-18,183,Defender,Portugal,3307,right,Ricardo Carvalho,null
Portugal,78,Pedro Filipe,,Teod\u00f3sio Mendes,3787,1990-10-01,186,Defender,Switzerland,3308,right,Pedro Mendes,null
Martinique,81,Rapha\u00ebl,,Varane,675,1993-04-25,191,Defender,France,3309,right,R. Varane,4418
Spain,80,Marcelo,,Vieira da Silva J\u00fanior,675,1988-05-12,174,Defender,Brazil,3310,left,Marcelo,6380
Germany,97,Niklas,,S\u00fcle,2444,1995-09-03,195,Defender,Germany,134383,right,N. S\u00fcle,3148
Spain,73,Jos\u00e9 Mar\u00eda,,Callej\u00f3n Bueno,3187,1987-02-11,178,Forward,Spain,3313,right,Jos\u00e9 Callej\u00f3n,null
Mali,67,Lassana,,Diarra,3767,1985-03-10,173,Midfielder,France,3315,right,L. Diarra,null
Spain,78,Esteban F\u00e9lix,,Granero Molina,691,1987-07-02,180,Midfielder,Spain,3317,right,Granero,null
Tunisia,85,Sami,,Khedira,3159,1987-04-04,189,Midfielder,Germany,3318,right,S. Khedira,3148
Germany,76,Mesut,,\u00d6zil,1609,1988-10-15,180,Midfielder,Germany,3319,left,M. \u00d6zil,3148
Turkey,73,Nuri,,\u015eahin,2447,1988-09-05,180,Midfielder,Germany,3320,left,N. \u015eahin,null
Algeria,81,Karim,,Benzema,675,1987-12-19,185,Forward,France,3321,right,K. Benzema,null
Portugal,83,Cristiano Ronaldo,,dos Santos Aveiro,3159,1985-02-05,187,Forward,Portugal,3322,right,Cristiano Ronaldo,9905
Argentina,82,Gonzalo Gerardo,,Higua\u00edn,3157,1987-12-10,184,Forward,France,3323,right,G. Higua\u00edn,12274
Spain,69,Juan Francisco,,Moreno Fuertes,677,1988-09-11,180,Defender,Spain,3325,right,Juanfran,null
Spain,85,Oier,,Olaz\u00e1bal Paredes,695,1989-09-14,189,Goalkeeper,Spain,3330,left,Oier,null
Spain,84,Felipe Salvador,,Caicedo Corozo,3162,1988-09-05,183,Forward,Ecuador,101635,left,F. Caicedo,null
Spain,70,Daniel,,Alves da Silva,3767,1983-05-06,172,Defender,Brazil,3334,right,Dani Alves,null
Spain,73,Marc,,Bartra Aregall,684,1991-01-15,184,Defender,Spain,3335,right,Bartra,null
Spain,89,Andreu,,Font\u00e0s Prat,692,1989-11-14,186,Defender,Spain,3337,left,Font\u00e0s,null
Spain,77,Sergi,,G\u00f3mez Sol\u00e0,692,1992-07-28,185,Defender,Spain,3338,right,Sergi G\u00f3mez,null
Spain,73,Mart\u00edn,,Montoya Torralbo,674,1991-04-14,175,Defender,Spain,3339,right,Montoya,null
Spain,72,Marc,,Muniesa Mart\u00ednez,756,1992-03-27,179,Defender,Spain,3340,left,Muniesa,null
Italy,80,Alessio,,Cragno,3173,1994-06-28,183,Goalkeeper,Italy,134413,right,A. Cragno,null
Spain,71,Rafael,,Alc\u00e2ntara do Nascimento,3161,1993-02-12,174,Midfielder,Brazil,3344,left,Rafinha,null
Brazil,70,Thiago,,Alc\u00e2ntara do Nascimento,2444,1991-04-11,174,Midfielder,Spain,3345,right,Thiago Alc\u00e2ntara,1598
Spain,76,Sergio,,Busquets i Burgos,676,1988-07-16,189,Midfielder,Spain,3346,right,Sergio Busquets,1598
Spain,68,Sergi,,Roberto Carnicer,676,1992-02-07,178,Defender,Spain,3347,right,Sergi Roberto,null
Italy,68,Filippo,,Costa,3204,1995-05-21,176,Defender,Italy,134420,left,F. Costa,null
Spain,68,Jonathan,,dos Santos Ram\u00edrez,7847,1990-04-26,172,Midfielder,Mexico,3349,right,J. dos Santos,15473
Spain,68,Andr\u00e9s,,Iniesta Luj\u00e1n,12804,1984-05-11,171,Midfielder,Spain,3353,right,Iniesta,1598
Italy,78,Daniele,,Rugani,3159,1994-07-29,188,Defender,Italy,134427,right,D. Rugani,3757
Italy,72,Leonardo,,Capezzi,3164,1995-03-28,178,Midfielder,Italy,134429,right,L. Capezzi,null
Spain,72,Cristian,,Tello Herrera,684,1991-08-11,178,Forward,Spain,3358,right,Cristian Tello,null
Spain,72,Lionel Andr\u00e9s,,Messi Cuccittini,676,1987-06-24,170,Forward,Argentina,3359,left,L. Messi,12274
Italy,75,Alberto,,Grassi,3204,1995-03-07,184,Midfielder,Italy,134435,right,A. Grassi,null
Russia,91,Artem,,Dzyuba,13885,1988-08-22,196,Forward,Russia,101669,right,A. Dzyuba,14358
Spain,67,Jos\u00e9 Andr\u00e9s,,Guardado Hern\u00e1ndez,684,1986-09-28,169,Midfielder,Mexico,3384,left,A. Guardado,15473
Russia,75,Alexandr,,Samedov,13888,1984-07-19,177,Midfielder,Russia,101699,right,A. Samedov,14358
Spain,84,Kepa,,Arrizabalaga Revuelta,1610,1994-10-03,189,Goalkeeper,Spain,3397,right,Arrizabalaga,1598
Spain,88,Ra\u00fal,,Fern\u00e1ndez-Cavada Mateos,695,1988-03-13,196,Goalkeeper,Spain,3398,right,Ra\u00fal Fern\u00e1ndez,null
Spain,89,Gorka,,Iraizoz Moreno,756,1981-03-06,191,Goalkeeper,Spain,3399,right,Iraizoz,null
Italy,80,Riccardo,,Piscitelli,,1993-10-10,185,Goalkeeper,Italy,134475,right,R. Piscitelli,null
Angola,68,Jon\u00e1s ,,Ramalho Chimeno,756,1993-06-10,181,Defender,Spain,3407,right,Ramalho,null
Spain,73,Enric,,Saborit Teixidor,678,1992-04-27,187,Defender,Spain,3408,left,Saborit,null
Spain,79,Mikel,,San Jos\u00e9 Dom\u00ednguez,678,1989-05-30,187,Midfielder,Spain,3409,right,San Jos\u00e9,null
Spain,77,Ander,,Iturraspe Derteano,678,1989-03-08,187,Midfielder,Spain,3414,right,Iturraspe,null
Spain,81,Javier,,Mart\u00ednez Aginaga,2444,1988-09-02,190,Midfielder,Spain,3416,right,Javi Mart\u00ednez,null
Spain,66,Markel,,Susaeta Laskurain,678,1987-12-14,179,Midfielder,Spain,3420,right,Susaeta,null
Spain,78,\u00d3scar,,de Marcos Arana,678,1989-04-14,182,Defender,Spain,3421,right,De Marcos,null
Spain,72,Ibai,,G\u00f3mez P\u00e9rez,696,1989-11-11,177,Midfielder,Spain,3423,right,Ibai G\u00f3mez,null
Spain,63,Iker,,Muniain Go\u00f1i,678,1992-12-19,169,Forward,Spain,3425,right,Muniain,null
Spain,87,Sergio ,,Asenjo Andr\u00e9s,682,1989-06-28,189,Goalkeeper,Spain,3428,right,Sergio Asenjo,null
France,81,Cl\u00e9ment,,Lenglet,680,1995-06-17,186,Defender,France,134503,left,C. Lenglet,null
Spain,79,Diego Roberto,,God\u00edn Leal,679,1986-02-16,187,Defender,Uruguay,3433,right,D. God\u00edn,15670
Italy,73,Filipe Luis,,Kasmirski,679,1985-08-09,182,Defender,Brazil,3434,left,Filipe Luis,6380
Mali,77,Seko,,Fofana,3163,1995-05-07,183,Midfielder,France,134508,right,S. Fofana,null
